Date,Close,Volume
2017-10-20,27.97,0
2017-10-23,29.97,0
2017-10-24,29.86,0
2017-10-25,29.52,0
2017-10-26,31.87,0
2017-10-27,31.55,0
2017-10-30,35.04,0
2017-10-31,33.06,0
2017-11-01,32.04,0
2017-11-02,30.37,0
2017-11-03,31.64,0
2017-11-06,31.23,0
2017-11-07,32.52,0
2017-11-08,32.54,0
2017-11-09,34.28,0
2017-11-10,33.62,0
2017-11-13,34.65,0
2017-11-14,34.49,0
2017-11-15,33.49,0
2017-11-16,33.0,0
2017-11-17,33.96,0
2017-11-20,32.55,0
2017-11-21,33.45,0
2017-11-22,32.6,0
2017-11-24,33.19,0
2017-11-27,33.27,0
2017-11-28,33.25,0
2017-11-29,33.62,0
2017-11-30,33.5,0
2017-12-01,34.57,0
2017-12-04,35.15,0
2017-12-05,35.06,0
2017-12-06,35.73,0
2017-12-07,34.66,0
2017-12-08,33.44,0
2017-12-11,31.88,0
2017-12-12,30.13,0
2017-12-13,28.95,0
2017-12-14,29.43,0
2017-12-15,25.78,0
2017-12-18,27.1,0
2017-12-19,24.19,0
2017-12-20,25.45,0
2017-12-21,26.54,0
2017-12-22,24.99,0
2017-12-26,25.86,0
2017-12-27,26.22,0
2017-12-28,25.63,0
2017-12-29,27.22,0
2018-01-02,29.48,0
2018-01-03,29.57,0
2018-01-04,29.37,0
2018-01-05,28.58,0
2018-01-08,28.83,0
2018-01-09,29.86,0
2018-01-10,30.97,0
2018-01-11,30.9,0
2018-01-12,31.38,0
2018-01-16,33.06,0
2018-01-17,32.99,0
2018-01-18,33.08,0
2018-01-19,33.08,0
2018-01-22,32.14,0
2018-01-23,34.21,0
2018-01-24,27.16,0
2018-01-25,27.8,0
2018-01-26,27.7,0
2018-01-29,29.82,0
2018-01-30,29.51,0
2018-01-31,29.09,0
2018-02-01,28.39,0
2018-02-02,32.11,0
2018-02-05,30.09,0
2018-02-06,36.42,0
2018-02-07,38.08,0
2018-02-08,42.6,0
2018-02-09,39.86,0
2018-02-12,35.71,0
2018-02-13,35.64,0
2018-02-14,29.79,0
2018-02-15,29.62,0
2018-02-16,29.69,0
2018-02-20,30.08,0
2018-02-21,29.81,0
2018-02-22,28.89,0
2018-02-23,27.52,0
2018-02-26,27.24,0
2018-02-27,28.35,0
2018-02-28,31.7,0
2018-03-01,32.12,0
2018-03-02,31.58,0
2018-03-05,31.84,0
2018-03-06,30.24,0
2018-03-07,31.11,0
2018-03-08,31.38,0
2018-03-09,28.38,0
2018-03-12,27.29,0
2018-03-13,28.58,0
2018-03-14,26.47,0
2018-03-15,28.68,0
2018-03-16,25.52,0
2018-03-19,30.01,0
2018-03-20,30.07,0
2018-03-21,28.5,0
2018-03-22,31.21,0
2018-03-23,32.42,0
2018-03-26,31.62,0
2018-03-27,32.5,0
2018-03-28,32.13,0
2018-03-29,30.28,0
2018-04-02,32.94,0
2018-04-03,33.42,0
2018-04-04,33.96,0
2018-04-05,30.42,0
2018-04-06,31.13,0
2018-04-09,33.54,0
2018-04-10,32.02,0
2018-04-11,31.04,0
2018-04-12,30.04,0
2018-04-13,30.15,0
2018-04-16,30.08,0
2018-04-17,28.34,0
2018-04-18,26.59,0
2018-04-19,26.44,0
2018-04-20,26.69,0
2018-04-23,27.58,0
2018-04-24,27.64,0
2018-04-25,30.24,0
2018-04-26,27.7,0
2018-04-27,26.53,0
2018-04-30,27.75,0
2018-05-01,27.9,0
2018-05-02,28.4,0
2018-05-03,28.81,0
2018-05-04,27.96,0
2018-05-07,28.24,0
2018-05-08,28.47,0
2018-05-09,28.22,0
2018-05-10,26.61,0
2018-05-11,27.25,0
2018-05-14,27.87,0
2018-05-15,28.29,0
2018-05-16,28.87,0
2018-05-17,31.83,0
2018-05-18,32.32,0
2018-05-21,31.41,0
2018-05-22,31.96,0
2018-05-23,31.58,0
2018-05-24,31.01,0
2018-05-25,31.0,0
2018-05-29,33.66,0
2018-05-30,30.92,0
2018-05-31,29.67,0
2018-06-01,29.96,0
2018-06-04,29.15,0
2018-06-05,29.87,0
2018-06-06,31.14,0
2018-06-07,38.94,0
2018-06-08,35.11,0
2018-06-11,35.13,0
2018-06-12,34.29,0
2018-06-13,33.32,0
2018-06-14,35.93,0
2018-06-15,33.9,0
2018-06-18,33.86,0
2018-06-19,34.17,0
2018-06-20,34.55,0
2018-06-21,36.13,0
2018-06-22,34.59,0
2018-06-25,34.58,0
2018-06-26,33.56,0
2018-06-27,35.6,0
2018-06-28,34.71,0
